DeviceID,Brand,TheModel,ThumbnailURL,ImageURL,DeepLink,Mint,Good,Poor,Broken,Water damaged/dead
569,Apple,Apple iPad 3 16 GB iPad 3 16 GB,http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=569,243,223,200,48,20
570,Apple,Apple iPad 3 32 GB iPad 3 32 GB,http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=570,300,275,250,60,30
571,Apple,Apple iPad 3 64 GB iPad 3 64 GB,http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=571,355,325,295,70,35
572,Apple,Apple iPad 3 16 GB + WiFi iPad 3 16 GB + WiFi,http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=572,320,295,270,64,30
573,Apple,Apple iPad 3 32 GB + WiFi iPad 3 32 GB + WiFi,http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=573,365,335,305,72,30
574,Apple,Apple iPad 3 64 GB + WiFi iPad 3 64 GB + WiFi,http://www.hellototem.com/images/phones/Apple iPad 3.jpg,http://www.hellototem.com/images/phones/full/Apple iPad 3.jpg,http://www.hellototem.com/?p=574,390,360,330,78,30
577,Apple,iPhone 5 16 GB (AT&T),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=577,354.795,326.4114,283.836,70.959,35.4795
578,Apple,iPhone 5 32 GB (AT&T),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=578,404.8344,372.4476,323.8675,80.9668,40.4835
579,Apple,iPhone 5 64 GB (AT&T),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=579,440.7619,405.5009,352.6095,88.1524,44.0761
580,Apple,iPhone 5 16 GB (Verizon),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=580,354.795,326.4114,283.836,70.959,35.4795
581,Apple,iPhone 5 32 GB (Verizon),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=581,404.8344,372.4476,323.8675,80.9668,40.4835
582,Apple,iPhone 5 64 GB (Verizon),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=582,440.7619,405.5009,352.6095,88.1524,44.0761
583,Apple,iPhone 5 16 GB (Sprint),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=583,354.795,326.4114,283.836,70.959,35.4795
584,Apple,iPhone 5 32 GB (Sprint),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=584,404.8344,372.4476,323.8675,80.9668,40.4835
585,Apple,iPhone 5 64 GB (Sprint),http://www.hellototem.com/images/phones/Apple iPhone 5.jpg,http://www.hellototem.com/images/phones/full/Apple iPhone 5.jpg,http://www.hellototem.com/?p=585,440.7619,405.5009,352.6095,88.1524,44.0761
597,Apple,iPad Mini 16GB WiFi,http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=597,160,148,128,32,16
598,Apple,iPad Mini 32GB WiFi,http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=598,228,209,182.4,45.6,22.8
599,Apple,iPad Mini 64GB WiFi,http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=599,288.8,266.2375,231.04,57.76,28.88
600,Apple,iPad Mini 16GB WiFi + 4G (AT&T),http://www.hellototem.com/images/phones/Apple iPad Mini.jpg,http://www.hellototem.com/images/phones/full/Apple iPad Mini.jpg,http://www.hellototem.com/?p=600,240.57,222.75,192.456,48.114,24.057
